Tên BĐS,Vị trí,Giá,Diện tích,Giá/m²,Phòng ngủ,Phòng WC
"QUỸ CĂN NỘI BỘ THE NELSON TẦNG ĐẸP GIÁ NIÊM YẾT, CHIẾT KHẤU CAO NHẤT CHO QUÝ KHÁCH TRONG THÁNG 4",·,Giá thỏa thuận,106 m²,N/A,3,N/A
HOT! QUỸ CĂN NGOẠI GIAO ĐẸP NHẤT TẦNG 12 ĐẾN 27 (PENHOUSE) DA THE NELSON GIÁ TỐT NHẤT THỊ TRƯỜNG,·,Giá thỏa thuận,"106,1 m²",N/A,3,N/A
"HOT HÀNG HIẾM 10 SUẤT NGOẠI GIAO BẢNG HÀNG CỰC HOT, LÃI SUẤT 0% TRONG 6 THÁNG, CĂN HỘ TT LÁNG HẠ",·,Giá thỏa thuận,83 m²,N/A,2,2
"TOÀ APARTMENT ĐỘI CẤN, 70M2*9T, MT 7M, 20 CĂN HỘ KK, ĐỦ GPXD/PCCC, NGÕ Ô TÔ, DÒNG TIỀN ~8.5%/NĂM",·,"21,5 tỷ",70 m²,"307,14 tr/m²",20,20
"NHÀ RIÊNG ĐÀO TẤN 7 TẦNG THANG MÁY, CÁCH MẶT PHỐ 10M, 10 PHÒNG CHO THUÊ 65TR/THÁNG, GIÁ CHỈ 12.9 TỶ",·,"12,9 tỷ",42 m²,"307,14 tr/m²",10,N/A
"Bán nhà mặt phố Nguyễn Trường Tộ, 105m2, 4 tầng, mặt tiền 10m, 77 tỷ, kinh doanh đỉnh","Nguyễn Trung Trực, Ba Đình",77 tỷ,105 m²,"733,33 tr/m²",4,4
Bán nhà 55m2 xây 8 tầng giao 17 tỷ Phố Phan Kế Bính ô tô kinh doanh thang máy Ba Đình Hà Nội Nhanh,"Cống Vị, Ba Đình",17 tỷ,55 m²,"309,09 tr/m²",4,7
"Bán nhà ngõ oto tránh phố Láng Hạ, Ba Đình. Thích hợp ở hoặc xây toà nhà 7 - 8 tầng LH 0948 298 ***","Giảng Võ, Ba Đình",48 tỷ,125 m²,384 tr/m²,4,4
Giá tốt (156tr/m2): Quỹ căn Vinhomes Metropolis ngày 11/04: SDT 0913 809 ***,"Ngọc Khánh, Ba Đình","26,5 tỷ",146 m²,"181,51 tr/m²",4,
Bán nhà đẹp 2 MT tại Liễu Giai - Đội Cấn chính chủ,"Cống Vị, Ba Đình","95,75 tỷ",383 m²,250 tr/m²,N/A,N/A
"Bán nhà mặt phố Nguyên Hồng, quận Ba Đình, DT 50m2, khu giao thông thuận tiện, nhà chính chủ","Thành Công, Ba Đình","5,2 tỷ",50 m²,104 tr/m²,N/A,N/A
Bán nhanh nhà 4 tầng lô góc phố Kim Mã - Ngọc Khánh,"Ngọc Khánh, Ba Đình","12,99 tỷ",56 m²,"231,96 tr/m²",4,
"Bán nhà riêng 5 tầng, ngõ ô tô , sàn 60m2, mặt tiền 4m","Thành Công, Ba Đình",22 tỷ,60 m²,"366,67 tr/m²",N/A,N/A
Bán chung cư Liễu Giai Toer (26 Liễu Giai) 2 ngủ 2 wc,"Cống Vị, Ba Đình","6,56 tỷ","69,1 m²",95 tr/m²,2,2
Bán nhà chính phố Đào Tấn hàng xóm Lotte Liễu Giai - Văn Cao - 20m ra phố - hai thoáng nhà siêu đẹp,"Liễu Giai, Ba Đình","9,5 tỷ",80 m²,"118,75 tr/m²",4,3
Bán nhà riêng quận Ba Đình Hà Nội,"Ngọc Hà, Ba Đình","15,5 tỷ",55 m²,"281,82 tr/m²",5,6
"CC bán nhà 110m² Đội Cấn, Ba Đình chỉ 5.2 tỷ, 3 mặt thoáng vĩnh viễn!","Đội Cấn, Ba Đình","5,2 tỷ",110 m²,"47,27 tr/m²",N/A,2
"Bán nhà mặt đường La Thành, diện tích 110m2, mặt tiền 4,8m, vị trí trung tâm","Giảng Võ, Ba Đình",Giá thỏa thuận,110 m²,N/A,N/A,N/A
"Chính chủ bán gấp nhà phố Kim Mã, Ba Đình, Hà Nội 5 tầng full nội thất, sẵn sổ sang tên ngay","Kim Mã, Ba Đình","8,8 tỷ",43 m²,"204,65 tr/m²",5,3
Quỹ căn hộ cần chuyển nhượng giá tốt nhất - gọi xem nhà ngay hôm nay. Hotline 0989 138 ***,"Ngọc Khánh, Ba Đình","8,2 tỷ",55 m²,"149,09 tr/m²",1,1
"(Tin thật 100%) Bán tòa VP kết hợp CHDV tại Kim Mã - Phân lô 2 ô tô tránh - Dòng tiền 1,5 tỷ/năm","Ngọc Khánh, Ba Đình",32 tỷ,"69,3 m²","461,76 tr/m²",10,
"Quỹ căn cần bán gấp Vinhomes Metropolis 1PN, 2PN, 3PN, 4PN, giá tốt, xem nhà 24/7, LH 0987 709 ***","Ngọc Khánh, Ba Đình",23 tỷ,146 m²,"157,53 tr/m²",4,3
"Bán Nhà Biệt Thự 131m2, 75 tỷ tại mặt phố Trấn Vũ, Trúc Bạch, Ba Đình, Hà Nội","Trúc Bạch, Ba Đình",75 tỷ,131 m²,"572,52 tr/m²",10,8
"Nhà xây mới 39m2 6 tầng mt 4,6m giá 8,8 tỷ thang máy tại Hoàng Hoa Thám, Ngọc Hà, Ba Đình, Hà Nội","Ngọc Hà, Ba Đình","8,8 tỷ",39 m²,"225,64 tr/m²",4,5
"Chính chủ bán nhà 2B đầu ngõ 12 Đào Tấn, Ba Đình DTSD 80m2, T1 KD, T2 2PN, khách, bếp, chỗ giặt giũ","Cống Vị, Ba Đình",6 tỷ,80 m²,75 tr/m²,2,N/A
"Bán mặt ngõ 279 Đội Cấn, Ba Đình DT 121m2 x 1 tầng MT 7,5m (đường 12m, hè 3,5m)","Đội Cấn, Ba Đình","40,5 tỷ",121 m²,"334,71 tr/m²",N/A,N/A
"Cực hiếm!Chỉ hơn 9 tỷ!CHDV phố Đội Cấn, Văn Cao. 50m2*5t, 9pnkk. Dòng tiền 50tr/tháng. PCCC đầy đủ","Liễu Giai, Ba Đình","9,68 tỷ",50 m²,"193,6 tr/m²",N/A,N/A
"Chỉ hơn 6 tỷ! Bán gấp nhà phố Đội Cấn, Vạn Bảo. Ba bước ra đường ô tô. Ở, KD online đỉnh. 40m2*5t","Ngọc Hà, Ba Đình","6,79 tỷ",40 m²,"169,75 tr/m²",N/A,N/A
"HIẾM! Bán nhà Đào Tấn, Ba Đình, Cơ hội sở hữu ngôi nhà mơ ước ngay trung tâm thành phố!","Ngọc Khánh, Ba Đình","6,6 tỷ","46,3 m²","142,55 tr/m²",5,N/A
ĐÀO TẤN - BA ĐÌNH - KHU VỰC CỰC VIP - HÀNG XÓM LOTTER - NHÀ MỚI - THANG MÁY - NGÕ NÔNG - GẦN PHỐ,"Cống Vị, Ba Đình","7,4 tỷ",33 m²,"224,24 tr/m²",4,5
"Chính chủ bán nhà phố Phan Kế Bính, Ba Đình 55m2 7T thang máy, ô tô kinh doanh ngõ thông 17.2tỷ","Cống Vị, Ba Đình","16,5 tỷ",55 m²,300 tr/m²,7,5
"Siêu Hiếm! Đội Cấn, Ba Đình 38m2, 3 Tầng, MT 5m, gần ô tô, chỉ 5.5 tỷ. Lh 0886 824 ***","Ngọc Hà, Ba Đình","5,5 tỷ",38 m²,"144,74 tr/m²",2,3
"Bán gấp nhà phố Kim Mã 58m2 6 tầng MT 3,5m chỉ 10,9 tỷ 15m ra phố sầm uất full nội thất","Ngọc Khánh, Ba Đình","10,9 tỷ",58 m²,"187,93 tr/m²",5,6
"Bán gấp nhà MP Mai Anh Tuấn 43m2 6T MT 3,5m giá 31 tỷ TM KD sầm uất vỉa hè rộng ôtô full nội thất","Thành Công, Ba Đình",31 tỷ,43 m²,"720,93 tr/m²",N/A,N/A
Ở ngay! Bán nhà phố Văn Cao đầu Liễu Giai DT 55/44m2 x 5 tầng. 8.5 tỷ có TL. LH 0968 963 ***,"Liễu Giai, Ba Đình","8,5 tỷ",50 m²,170 tr/m²,5,4
"Ngõ 209 Đội Cấn Nhà dân xây , còn rất mới , mặt tiền khủng , cực thoáng , ô tô qua nhà 41*5*8,6 tỷ","Ngọc Hà, Ba Đình","8,6 tỷ",41 m²,"209,76 tr/m²",4,4
Căn hộ 3 ngủ góc view hồ quận Ba Đình diện tích 105m giá 15 tỷ nhà nguyên bản chưa qua sử dụng,"Thành Công, Ba Đình",15 tỷ,106 m²,"141,51 tr/m²",N/A,N/A
Căn hộ 3 ngủ góc view hồ quận Ba Đình diện tích 105m giá 15 tỷ nhà nguyên bản chưa qua sử dụng,"Kim Mã, Ba Đình",15 tỷ,106 m²,"141,51 tr/m²",N/A,N/A
Mặt ngõ thông 4m - kimh doanh - oto vào nhà - cách phố 35m - phố Kim Mã 38m - 5 tầng - 13.8 tỷ,"Ngọc Khánh, Ba Đình","13,8 tỷ",38 m²,"363,16 tr/m²",4,5
"Chính chủ bán nhà Đội Cấn, Ba Đình. Sổ chính chủ, hỗ trợ vay ngân hàng 80%","Đội Cấn, Ba Đình",9 tỷ,42 m²,"214,29 tr/m²",N/A,N/A
Bán nhà mặt phố Phúc Xá Ba Đình kinh doanh đỉnh 3 mặt thoáng 63m2 MT 5.1m 17.35 tỷ,"Phúc Xá, Ba Đình","17,35 tỷ","62,8 m²","276,27 tr/m²",2,1
Bán nhà lô góc ngõ 189 Hoàng Hoa Thám 120m2 hướng Đông Nam đẹp,"Ngọc Hà, Ba Đình",Giá thỏa thuận,120 m²,N/A,5,5
"Bán CC 3PN, 2WC, 104m2 view trực diện hồ Thành Công tại 16 Láng Hạ, 16 tỷ VND, Ba Đình, HN","Thành Công, Ba Đình",16 tỷ,104 m²,"153,85 tr/m²",3,2
Metropolis căn 139 tr/m2 cần bán (06/04/2025) SDT 0913 809 ***,"Ngọc Khánh, Ba Đình","17,6 tỷ",115 m²,"153,04 tr/m²",3,2
Nhà đẹp sân vườn - ngã ba Vạn Bảo Kim Mã - Núi Trúc - Nhà dân xây chất lượng 2 thoáng - 10m ra ô tô,"Kim Mã, Ba Đình",Giá thỏa thuận,70 m²,N/A,4,3
"Chính Chủ Bán Nhanh Nhà Đẹp Phố Núi Trúc - Kim Mã 60m2 - 5t, giá hơn 11tỷ - 1 nhà ra phố- 2 thoáng","Kim Mã, Ba Đình",11 tỷ,62 m²,"177,42 tr/m²",4,3
"Bán nhà riêng 20,9 tỷ, 50m2 tại Kim Mã, Ngọc Khánh, Ba Đình, Hà Nội","Ngọc Khánh, Ba Đình","20,9 tỷ",50 m²,418 tr/m²,5,5
Siêu hiếm nhà 30m - 5 tầng đẹp như mơ tại ngõ 10 Láng Hạ chỉ 100m ra phố. Giá 7 tỷ có thương lượng,"Ngọc Khánh, Ba Đình",7 tỷ,30 m²,"233,33 tr/m²",3,4
"Cần bán nhà riêng Phố Vĩnh Phúc 60m 7 Tg MT 3,9m chỉ 23 tỷ KD sầm uất TM ôtô 2 chiều vỉa hè 6m","Vĩnh Phúc, Ba Đình",23 tỷ,60 m²,"383,33 tr/m²",5,6
"Bán NR 39m2, thang máy, ô tô để ngày đêm, giá siêu hời 9,5 tỷ, 4PN, 4WC tại Ngọc Hà, Ba Đình, HN","Ngọc Hà, Ba Đình","9,5 tỷ",39 m²,"243,59 tr/m²",4,4
Lô góc 2 mặt ngõ ô tô tránh - kinh doanh đẳng cấp - 8 tầng 1 tum - quận Ba Đình,"Liễu Giai, Ba Đình",75 tỷ,175 m²,"428,57 tr/m²",15,15
"Bán nhà phố Láng Hạ DT 35m2 5 tầng giá 7,3 tỷ - LH 0985 342 *** E Trường","Thành Công, Ba Đình","7,3 tỷ",35 m²,"208,57 tr/m²",3,4
"Độc quyền bán 1 căn duy nhất Ngọc Hà cạnh Lê Hồng Phong Ba Đình HN chỉ 6,8 tỷ có TL","Ngọc Hà, Ba Đình","6,8 tỷ",35 m²,"194,29 tr/m²",3,4
"Phân phối 5 căn hộ Lancaster Núi Trúc đẹp nhất, quỹ căn góc đẹp - hiếm giá rẻ DT: 0944 412 ***","Giảng Võ, Ba Đình","14,24 tỷ",126 m²,113 tr/m²,3,3
